,sepal.length,sepal.width,petal.length,petal.width,variety
0,0.2222222222222221,0.625,0.06779661016949151,0.04166666666666667,Setosa
1,0.16666666666666674,0.41666666666666674,0.06779661016949151,0.04166666666666667,Setosa
2,0.11111111111111116,0.5,0.05084745762711865,0.04166666666666667,Setosa
3,0.08333333333333326,0.45833333333333326,0.0847457627118644,0.04166666666666667,Setosa
4,0.19444444444444442,0.6666666666666667,0.06779661016949151,0.04166666666666667,Setosa
5,0.3055555555555556,0.7916666666666665,0.11864406779661013,0.125,Setosa
6,0.08333333333333326,0.5833333333333333,0.06779661016949151,0.08333333333333333,Setosa
7,0.19444444444444442,0.5833333333333333,0.0847457627118644,0.04166666666666667,Setosa
8,0.0277777777777779,0.375,0.06779661016949151,0.04166666666666667,Setosa
9,0.16666666666666674,0.45833333333333326,0.0847457627118644,0.0,Setosa
10,0.3055555555555556,0.7083333333333333,0.0847457627118644,0.04166666666666667,Setosa
11,0.13888888888888884,0.5833333333333333,0.1016949152542373,0.04166666666666667,Setosa
12,0.13888888888888884,0.41666666666666674,0.06779661016949151,0.0,Setosa
13,0.0,0.41666666666666674,0.01694915254237289,0.0,Setosa
14,0.4166666666666665,0.8333333333333333,0.033898305084745756,0.04166666666666667,Setosa
15,0.38888888888888884,1.0,0.0847457627118644,0.125,Setosa
16,0.3055555555555556,0.7916666666666665,0.05084745762711865,0.125,Setosa
17,0.2222222222222221,0.625,0.06779661016949151,0.08333333333333333,Setosa
18,0.38888888888888884,0.7499999999999998,0.11864406779661013,0.08333333333333333,Setosa
19,0.2222222222222221,0.7499999999999998,0.0847457627118644,0.08333333333333333,Setosa
20,0.3055555555555556,0.5833333333333333,0.11864406779661013,0.04166666666666667,Setosa
21,0.2222222222222221,0.7083333333333333,0.0847457627118644,0.125,Setosa
22,0.08333333333333326,0.6666666666666667,0.0,0.04166666666666667,Setosa
23,0.2222222222222221,0.5416666666666665,0.11864406779661013,0.16666666666666669,Setosa
24,0.13888888888888884,0.5833333333333333,0.15254237288135591,0.04166666666666667,Setosa
25,0.19444444444444442,0.41666666666666674,0.1016949152542373,0.04166666666666667,Setosa
26,0.19444444444444442,0.5833333333333333,0.1016949152542373,0.125,Setosa
27,0.25,0.625,0.0847457627118644,0.04166666666666667,Setosa
28,0.25,0.5833333333333333,0.06779661016949151,0.04166666666666667,Setosa
29,0.11111111111111116,0.5,0.1016949152542373,0.04166666666666667,Setosa
30,0.13888888888888884,0.45833333333333326,0.1016949152542373,0.04166666666666667,Setosa
31,0.3055555555555556,0.5833333333333333,0.0847457627118644,0.125,Setosa
32,0.25,0.8749999999999998,0.0847457627118644,0.0,Setosa
33,0.33333333333333326,0.9166666666666667,0.06779661016949151,0.04166666666666667,Setosa
34,0.16666666666666674,0.45833333333333326,0.0847457627118644,0.04166666666666667,Setosa
35,0.19444444444444442,0.5,0.033898305084745756,0.04166666666666667,Setosa
36,0.33333333333333326,0.625,0.05084745762711865,0.04166666666666667,Setosa
37,0.16666666666666674,0.6666666666666667,0.06779661016949151,0.0,Setosa
38,0.0277777777777779,0.41666666666666674,0.05084745762711865,0.04166666666666667,Setosa
39,0.2222222222222221,0.5833333333333333,0.0847457627118644,0.04166666666666667,Setosa
40,0.19444444444444442,0.625,0.05084745762711865,0.08333333333333333,Setosa
41,0.05555555555555558,0.12499999999999989,0.05084745762711865,0.08333333333333333,Setosa
42,0.0277777777777779,0.5,0.05084745762711865,0.04166666666666667,Setosa
43,0.19444444444444442,0.625,0.1016949152542373,0.20833333333333331,Setosa
44,0.2222222222222221,0.7499999999999998,0.15254237288135591,0.125,Setosa
45,0.13888888888888884,0.41666666666666674,0.06779661016949151,0.08333333333333333,Setosa
46,0.2222222222222221,0.7499999999999998,0.1016949152542373,0.04166666666666667,Setosa
